index,source_name,export_name,role,visible,bbox,export_path,suggested_godot_node
"1","Background","bg_battle_main","background","true","0 0 1080 1920","export/ui/battle_main/bg_battle_main.png","BgBattleMainTextureRect"
"2","asset_37_940_805_253x118","asset_37_940_805_253x118","image_asset","true","-166 -204 1193 2165","export/ui/battle_main/asset_37_940_805_253x118.png","Asset37940805253x118TextureRect"
"3","asset_01_28_20_297x684","asset_01_28_20_297x684","image_asset","true","27 21 1053 1899","export/ui/battle_main/asset_01_28_20_297x684.png","Asset012820297x684TextureRect"
"4","图层 1 copy","root_layer_004","image_asset","false","-2047 -446 3073 2469","","RootLayer004TextureRect"
"5","图层 1","action_panel_layer_005","image_asset","true","367 1749 421 1806","export/ui/battle_main/action_panel_layer_005.png","ActionPanelLayer005TextureRect"
"6","图层 1 copy 3","action_panel_layer_006","image_asset","true","432 1748 486 1805","export/ui/battle_main/action_panel_layer_006.png","ActionPanelLayer006TextureRect"
"7","图层 1 copy 4","action_panel_layer_007","image_asset","true","499 1749 553 1806","export/ui/battle_main/action_panel_layer_007.png","ActionPanelLayer007TextureRect"
"8","asset_34_127_786_140x135","asset_34_127_786_140x135","image_asset","true","148 1724 249 1821","export/ui/battle_main/asset_34_127_786_140x135.png","Asset34127786140x135TextureRect"
"9","方向","label_direction","godot_label","true","168 1682 229 1712","","LabelDirectionLabel"
"10","消耗AP","label_ap_cost","godot_label","true","451 1682 561 1714","","LabelApCostLabel"
"11","asset_20_848_347_143x88","asset_20_848_347_143x88","image_asset","true","680 1685 976 1868","export/ui/battle_main/asset_20_848_347_143x88.png","Asset20848347143x88TextureRect"
"12","行动","label_action","godot_label","true","789 1740 869 1779","","LabelActionLabel"
"13","不可用","label_unavailable","godot_label","true","782 1805 878 1835","","LabelUnavailableLabel"
"14","3","txt_value_014","godot_label","true","581 1751 613 1802","","TxtValue014Label"
"15","向右","label_move_right","godot_label","true","171 1827 231 1857","","LabelMoveRightLabel"
"16","asset_33_820_710_675x85","asset_33_820_710_675x85","image_asset","true","84 1520 998 1629","export/ui/battle_main/asset_33_820_710_675x85.png","Asset33820710675x85TextureRect"
